config_id,vision_encoder,text_encoder,variant,multitask_performance_score,headline_metrics,metric__cifar100_zeroshot__top1_accuracy,metric__coco_retrieval__coco5_i2t_R@1,metric__coco_retrieval__coco5_t2i_R@1,metric__eurosat_zeroshot__top1_accuracy,metric__pets_zeroshot__top1_accuracy,retrieval_unique_wins,retrieval_error_diversity,classification_unique_wins,classification_error_diversity,oracle_contribution,cross_task_specialisation,cost_adjusted_task_score,comparison,seed_variant,seed_runs,seed_values,mean_metric,standard_deviation,confidence_interval_low,confidence_interval_high,matched_delta_mean,matched_delta_ci_low,matched_delta_ci_high,win_count,tie_count,loss_count,reliability_status,seed_reliability_score,criterion_minimum_effect,criterion_minimum_runs,criterion_minimum_wins,latency_ms,peak_allocated_bytes,parameters,flops_per_batch,device_name,checkpoint,unique_win_contribution,error_diversity,vision_architecture_family,text_architecture_family,token_interface_readiness,multitask_performance_component,unique_wins_component,oracle_contribution_component,cross_task_specialisation_component,latency_efficiency_component,memory_efficiency_component,architectural_diversity_component,token_interface_readiness_component,selection_score,performance_score,efficiency_score
dinov2_vits14__all_minilm_l6_v2__local,dinov2_vits14,all_minilm_l6_v2,local,0.7478260869565216,5,0.26460000872612,0.1951999962329864,0.1604701429605484,0.1967901289463043,0.0421195663511753,0.14000909090909092,0.8076201635221792,0.09226933465085636,0.7602533752395155,0.005063410270173467,0.1561315904184588,0.6074774639597121,dinov2_minilm_local,local,5,"[42, 43, 44, 45, 46]",0.193240001797676,0.0034099802218883423,0.18900663090233036,0.19747337269302165,0.0054800033569335,-0.002959403114293601,0.0139194098281606,4.0,0.0,1.0,inconclusive,0.5,0.0,5.0,4.0,7.790524326264858,242586624.0,46026593,100576911360.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/dinov2_vits14_all_minilm_l6_v2_local/best.pt,0.11613921277997363,0.7839367693808474,plain_vit,minilm_sentence_transformer,True,0.8260869565217391,1.0,0.30434782608695654,0.9565217391304348,0.34782608695652173,0.9130434782608695,0.5434782608695652,1.0,0.7326086956521741,0.7478260869565216,0.5597826086956521
dinov2_vits14__all_minilm_l6_v2__baseline,dinov2_vits14,all_minilm_l6_v2,baseline,0.7652173913043478,5,0.2610000073909759,0.179199993610382,0.1543535590171814,0.1930864155292511,0.0706521719694137,0.12544545454545453,0.8035115688590989,0.09685269807576569,0.7483903682219828,0.007953005904455133,0.0407476925794022,0.652209522933405,dinov2_minilm_local,baseline,5,"[42, 43, 44, 45, 46]",0.18775999844074245,0.007301236931768874,0.17869576876322932,0.1968242281182556,,,,0.0,0.0,0.0,supported,1.0,0.0,5.0,4.0,7.525923475623131,242279936.0,45953025,99875741696.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/dinov2_vits14_all_minilm_l6_v2_baseline/best.pt,0.1111490763106101,0.7759509685405408,plain_vit,minilm_sentence_transformer,True,0.8695652173913043,0.8260869565217391,0.8695652173913043,0.13043478260869565,0.41304347826086957,0.9565217391304348,0.5434782608695652,1.0,0.7323913043478263,0.7652173913043478,0.6168478260869565
dinov2_vits14__bge_small_en__baseline,dinov2_vits14,bge_small_en,baseline,0.8347826086956521,5,0.2653000056743622,0.1736000031232834,0.1506756246089935,0.2227160483598709,0.0692934766411781,0.12278181818181819,0.8124312206059527,0.10677930228208003,0.7482973025711758,0.008351395598496967,0.0408933390327383,0.6299025833589228,,,0,,,,,,,,,,,,not_tested,0.25,,,,8.34284983575344,284867072.0,56599809,101753225216.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/dinov2_vits14_bge_small_en_baseline/best.pt,0.1147805602319491,0.7803642615885642,plain_vit,bge_embedding_model,True,1.0,0.9565217391304348,0.9565217391304348,0.17391304347826086,0.2554347826086957,0.782608695652174,0.5434782608695652,1.0,0.725,0.8347826086956521,0.45312500000000006
convnextv2_tiny__all_minilm_l6_v2__baseline,convnextv2_tiny,all_minilm_l6_v2,baseline,0.7913043478260869,5,0.29789999127388,0.1700000017881393,0.1502358615398407,0.2153086364269256,0.0516304336488246,0.11672727272727274,0.7984297238003335,0.10513662998747536,0.7408291549328914,0.0048967436035067995,0.1049235282947566,0.6972951135617211,convnextv2_minilm_local_global,baseline,5,"[42, 43, 44, 45, 46]",0.17732000052928917,0.007886187174250716,0.16752957563344226,0.1871104254251361,,,,0.0,0.0,0.0,supported,1.0,0.0,5.0,4.0,6.276567000895739,367327744.0,51959553,73178107904.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnextv2_tiny_all_minilm_l6_v2_baseline/best.pt,0.11093195135737405,0.7696294393666124,convnext_cnn,minilm_sentence_transformer,True,0.9130434782608695,0.782608695652174,0.21739130434782608,0.6086956521739131,0.7010869565217391,0.5652173913043478,0.21739130434782608,1.0,0.6975,0.7913043478260869,0.6501358695652174
dinov2_vits14__bge_small_en__local,dinov2_vits14,bge_small_en,local,0.7434782608695653,5,0.2614000141620636,0.1824000030755996,0.154113695025444,0.2138271629810333,0.050271738320589,0.1296909090909091,0.8098603180555056,0.09842622318189947,0.7530293848757089,0.0069681248881731,0.1036689170391214,0.5897750821926433,,,0,,,,,,,,,,,,not_tested,0.25,,,,8.540116250514984,285173760.0,56673377,102454394880.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/dinov2_vits14_bge_small_en_local/best.pt,0.11405856613640429,0.7814448514656073,plain_vit,bge_embedding_model,True,0.782608695652174,0.9130434782608695,0.7391304347826086,0.5652173913043478,0.19565217391304346,0.7391304347826086,0.5434782608695652,1.0,0.6733695652173913,0.7434782608695653,0.39945652173913043
convnextv2_tiny__all_minilm_l6_v2__local_global,convnextv2_tiny,all_minilm_l6_v2,local_global,0.8043478260869564,5,0.2930000126361847,0.1829999983310699,0.1547933220863342,0.1832098811864853,0.0584239140152931,0.12875454545454545,0.8035485904066785,0.0940882687584378,0.7277831352311283,0.0050776256933261,0.0765530065447626,0.671582009875963,convnextv2_minilm_local_global,local_global,5,"[42, 43, 44, 45, 46]",0.18212000131607056,0.005347149053046651,0.17548170323183493,0.1887582994003062,0.0048000007867813,-0.0087359514783364,0.018335953051899,3.0,0.0,2.0,inconclusive,0.5,0.0,5.0,4.0,6.848302017897368,367886848.0,52135425,73968867328.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnextv2_tiny_all_minilm_l6_v2_local_global/best.pt,0.11142140710649162,0.7656658628189034,convnext_cnn,minilm_sentence_transformer,True,0.9565217391304348,0.8695652173913043,0.34782608695652173,0.391304347826087,0.5760869565217391,0.5217391304347826,0.21739130434782608,1.0,0.663913043478261,0.8043478260869564,0.5557065217391304
convnext_tiny__all_minilm_l6_v2__baseline,convnext_tiny,all_minilm_l6_v2,baseline,0.6782608695652174,5,0.264299988746643,0.1852000057697296,0.1576317250728607,0.1748148202896118,0.0489130429923534,0.1295909090909091,0.7991101875313138,0.08409313790074656,0.740840477145808,0.0057873501520844,0.1152508606655163,0.7066875933445467,,,0,,,,,,,,,,,,not_tested,0.25,,,,5.557092558592558,328419840.0,51913185,73178107904.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_all_minilm_l6_v2_baseline/best.pt,0.10684202349582783,0.769975332338561,convnext_cnn,minilm_sentence_transformer,True,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.7391304347826086,0.7989130434782609,0.6521739130434783,0.21739130434782608,1.0,0.6447826086956523,0.6782608695652174,0.7438858695652174
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,0.7347826086956522,5,0.2694000005722046,0.1777999997138977,0.1488366574048996,0.1990123391151428,0.050271738320589,0.12424545454545455,0.8028251662239977,0.09088602856259857,0.7282044030871251,0.005396555734478367,0.0902262387567572,0.6560552928151415,,,0,,,,,,,,,,,,not_tested,0.25,,,,6.604635808616877,369827328.0,62559969,75055591424.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,0.10756574155402657,0.7655147846555614,convnext_cnn,bge_embedding_model,True,0.7391304347826086,0.7391304347826086,0.4782608695652174,0.43478260869565216,0.5108695652173914,0.4782608695652174,0.21739130434782608,1.0,0.5829347826086956,0.7347826086956522,0.49864130434782616
dinov2_vits14__e5_small_v2__baseline,dinov2_vits14,e5_small_v2,baseline,0.7043478260869566,5,0.2635000050067901,0.1622000038623809,0.1341648697853088,0.1970370411872863,0.073369562625885,0.11487272727272728,0.820655323288017,0.09930575237072818,0.7425873324152494,0.007002540704956067,0.0608539478991784,0.5871890974039775,,,0,,,,,,,,,,,,not_tested,0.25,,,,8.688510674983263,285366784.0,56599809,102439780352.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/dinov2_vits14_e5_small_v2_baseline/best.pt,0.10708923982172773,0.7816213278516333,plain_vit,e5_embedding_model,True,0.6956521739130435,0.6956521739130435,0.782608695652174,0.21739130434782608,0.20108695652173916,0.6956521739130435,0.5434782608695652,1.0,0.5765217391304349,0.7043478260869566,0.38654891304347827
convnext_tiny__e5_small_v2__baseline,convnext_tiny,e5_small_v2,baseline,0.5565217391304348,5,0.2657999992370605,0.1659999936819076,0.1390421390533447,0.1827160567045211,0.0421195663511753,0.1161,0.81123918897888,0.08332351412677497,0.7368378424538653,0.005450089461442033,0.115693026657485,0.6191630614399722,,,0,,,,,,,,,,,,not_tested,0.25,,,,6.364455819129944,371564032.0,62559969,75742146560.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_e5_small_v2_baseline/best.pt,0.09971175706338747,0.7740385157163727,convnext_cnn,e5_embedding_model,True,0.5217391304347826,0.5652173913043478,0.5652173913043478,0.782608695652174,0.5217391304347826,0.43478260869565216,0.21739130434782608,1.0,0.5505434782608697,0.5565217391304348,0.4891304347826087
