config_id,vision_encoder,text_encoder,variant,cifar100,coco_i2t,coco_t2i,eurosat,pets
convnext_tiny__all_minilm_l6_v2__baseline,convnext_tiny,all_minilm_l6_v2,baseline,0.264299988746643,0.1852000057697296,0.1576317250728607,0.1748148202896118,0.0489130429923534
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,0.2694000005722046,0.1777999997138977,0.1488366574048996,0.1990123391151428,0.050271738320589
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,0.2345000058412552,0.1198000013828277,0.1017030477523803,0.1518518477678299,0.0461956523358821
convnext_tiny__e5_small_v2__baseline,convnext_tiny,e5_small_v2,baseline,0.2657999992370605,0.1659999936819076,0.1390421390533447,0.1827160567045211,0.0421195663511753
convnextv2_tiny__all_minilm_l6_v2__baseline,convnextv2_tiny,all_minilm_l6_v2,baseline,0.29789999127388,0.1700000017881393,0.1502358615398407,0.2153086364269256,0.0516304336488246
convnextv2_tiny__all_minilm_l6_v2__local_global,convnextv2_tiny,all_minilm_l6_v2,local_global,0.2930000126361847,0.1829999983310699,0.1547933220863342,0.1832098811864853,0.0584239140152931
convnextv2_tiny__bge_small_en__baseline,convnextv2_tiny,bge_small_en,baseline,0.2849000096321106,0.1705999970436096,0.1453985720872879,0.1683950573205948,0.0611413046717643
convnextv2_tiny__distilbert__baseline,convnextv2_tiny,distilbert,baseline,0.2486000061035156,0.1129999980330467,0.1056208536028862,0.1202469170093536,0.0285326093435287
convnextv2_tiny__e5_small_v2__baseline,convnextv2_tiny,e5_small_v2,baseline,0.2851000130176544,0.1570000052452087,0.130606859922409,0.2037037014961242,0.0421195663511753
dinov2_vits14__all_minilm_l6_v2__baseline,dinov2_vits14,all_minilm_l6_v2,baseline,0.2610000073909759,0.179199993610382,0.1543535590171814,0.1930864155292511,0.0706521719694137
dinov2_vits14__all_minilm_l6_v2__local,dinov2_vits14,all_minilm_l6_v2,local,0.26460000872612,0.1951999962329864,0.1604701429605484,0.1967901289463043,0.0421195663511753
dinov2_vits14__bge_small_en__baseline,dinov2_vits14,bge_small_en,baseline,0.2653000056743622,0.1736000031232834,0.1506756246089935,0.2227160483598709,0.0692934766411781
dinov2_vits14__bge_small_en__local,dinov2_vits14,bge_small_en,local,0.2614000141620636,0.1824000030755996,0.154113695025444,0.2138271629810333,0.050271738320589
dinov2_vits14__distilbert__baseline,dinov2_vits14,distilbert,baseline,0.2457000017166137,0.1324000060558319,0.110458143055439,0.1802469193935394,0.0380434766411781
dinov2_vits14__e5_small_v2__baseline,dinov2_vits14,e5_small_v2,baseline,0.2635000050067901,0.1622000038623809,0.1341648697853088,0.1970370411872863,0.073369562625885
efficientnet_b0__all_minilm_l6_v2__baseline,efficientnet_b0,all_minilm_l6_v2,baseline,0.1878000050783157,0.1164000034332275,0.098424881696701,0.1439506113529205,0.0461956523358821
efficientnet_b0__bge_small_en__baseline,efficientnet_b0,bge_small_en,baseline,0.1811999976634979,0.1077999994158744,0.0901095420122146,0.1728395074605941,0.0584239140152931
efficientnet_b0__distilbert__baseline,efficientnet_b0,distilbert,baseline,0.1685999929904937,0.068400003015995,0.0594067312777042,0.1864197552204132,0.0217391308397054
efficientnet_b0__e5_small_v2__baseline,efficientnet_b0,e5_small_v2,baseline,0.1777999997138977,0.0997999981045723,0.0812345072627067,0.185679018497467,0.03125
swin_tiny__all_minilm_l6_v2__baseline,swin_tiny,all_minilm_l6_v2,baseline,0.2099000066518783,0.1449999958276748,0.1252898424863815,0.1365432143211364,0.0652173906564712
swin_tiny__bge_small_en__baseline,swin_tiny,bge_small_en,baseline,0.1977999955415725,0.1342000067234039,0.1116574704647064,0.1797530800104141,0.0625
swin_tiny__distilbert__baseline,swin_tiny,distilbert,baseline,0.1668999940156936,0.101000003516674,0.0852722451090812,0.1246913596987724,0.0407608710229396
swin_tiny__e5_small_v2__baseline,swin_tiny,e5_small_v2,baseline,0.1903000026941299,0.125,0.1043815463781356,0.1943209916353225,0.0557065233588218
